PlotID,PINumber,Row,Column,Block,Treatment,DaysToFlower,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBrancSufficientNitrogeno,BranchInternodeLength,ProteinPCT,OilPCT,FiberPCT,AshPCT,StarchPCT,KernelColor
5032,PI 533766,20,29,5,SufficientNitrogen,57.0,71.9,6.73,Y,11.0,,,34.6,3.6,11.0,85.0,61.5,5.5,2.0,19.09,8.19,26.67,4.62,1.65,95.67,2.4,,,,,,
5033,PI 533821,21,29,5,SufficientNitrogen,63.0,52.7,8.1,N,,45.7,,40.5,5.3,13.0,133.0,63.0,6.5,2.0,21.39,10.12,18.4,7.55,1.33,49.0,1.7,10.27,11.31,4.28,1.58,72.11,
5034,PI 655979,22,29,5,SufficientNitrogen,66.0,46.4,,Y,7.0,21.8,152.6,58.1,4.8,11.0,92.0,62.0,5.0,,,,,,,,,11.55,11.24,2.71,1.78,53.83,Brown
5036,PI 656076,24,29,5,SufficientNitrogen,58.0,59.5,11.02,N,12.0,54.8,657.6,37.1,7.5,12.0,119.0,48.5,8.5,,,,,,,,,10.48,11.86,4.73,1.37,74.01,Orange
5037,PI 564163,25,29,5,SufficientNitrogen,65.0,38.6,11.69,N,22.0,44.6,981.2,57.0,4.1,12.0,122.0,70.0,8.0,0.0,31.1,13.04,,,,,,10.6,11.04,4.66,1.58,71.54,Brown
5038,PI 656041,26,29,5,SufficientNitrogen,71.0,43.5,5.37,N,21.0,21.2,445.2,48.8,4.1,16.0,125.0,61.0,5.5,0.33,22.4,8.84,12.4,6.05,2.12,61.67,0.87,11.01,11.71,3.6,1.62,66.31,Orange
5039,PI 656020,27,29,5,SufficientNitrogen,58.0,38.1,7.15,N,14.0,16.8,235.2,42.2,3.1,11.0,80.0,67.0,6.5,0.0,20.64,9.16,15.4,6.39,3.0,39.33,2.2,10.03,10.2,4.22,1.47,72.43,Orange
5040,PI 655976,15,28,5,SufficientNitrogen,62.0,49.3,11.56,N,17.0,52.2,887.4,48.0,5.0,13.0,86.0,66.5,5.5,0.33,24.6,12.41,21.9,8.22,2.8,43.67,4.13,10.45,12.33,4.4,1.56,69.6,Mustard
5041,PI 564163,16,28,5,SufficientNitrogen,61.0,44.0,5.92,N,14.0,17.3,242.2,38.2,5.0,10.0,88.0,67.5,6.8,0.67,26.87,12.05,29.2,8.08,3.37,59.0,2.3,10.3,15.17,4.54,2.06,68.5,Mustard
5043,PI 656079,18,28,5,SufficientNitrogen,68.0,36.1,4.36,N,10.0,25.2,252.0,43.8,4.8,13.0,128.0,76.0,6.0,1.0,23.85,9.26,41.07,6.57,2.7,84.0,3.07,10.34,14.78,4.78,1.68,72.27,White
5044,PI 656072,19,28,5,SufficientNitrogen,76.0,39.3,5.12,N,11.0,54.5,599.5,53.9,6.7,16.0,99.0,80.0,8.5,0.33,36.69,16.6,19.3,13.0,1.23,88.0,3.17,10.49,12.01,4.31,1.49,70.05,Orange
5045,PI 533980,20,28,5,SufficientNitrogen,69.0,57.9,7.23,N,8.0,43.4,347.2,54.1,6.5,13.0,72.0,74.5,6.2,0.0,30.37,12.03,24.9,9.02,1.32,71.67,2.37,10.15,13.91,4.32,1.61,70.67,White
5049,PI 542718,24,28,5,SufficientNitrogen,72.0,60.4,7.68,N,19.0,19.8,376.2,41.0,3.4,8.0,128.0,70.5,6.5,1.0,26.15,13.76,11.0,8.98,4.52,49.33,1.5,,,,,,White
5050,PI 533800,25,28,5,SufficientNitrogen,69.0,43.8,10.52,N,17.0,35.9,610.3,48.4,5.6,16.0,82.0,70.0,8.2,0.0,20.14,8.14,25.47,6.35,2.67,54.33,1.23,10.13,12.27,4.74,1.56,72.18,Orange
5051,PI 656118,26,28,5,SufficientNitrogen,62.0,55.7,9.47,N,,27.8,,37.0,3.5,12.0,121.0,64.5,5.3,0.67,23.35,8.49,24.33,6.29,1.09,35.33,6.07,10.68,12.68,4.72,1.62,71.36,Brown
5052,PI 534115,27,28,5,SufficientNitrogen,63.0,53.4,15.18,N,10.0,34.0,340.0,46.5,6.6,14.0,90.0,58.0,6.5,0.0,18.84,11.49,16.4,8.65,1.97,70.33,1.63,9.93,13.59,4.31,1.72,72.25,White
5053,PI 656043,15,27,5,SufficientNitrogen,66.0,35.3,2.42,N,12.0,95.2,1142.4,52.5,8.2,13.0,183.0,73.5,6.5,1.0,20.22,11.25,20.4,8.22,2.17,58.67,1.93,10.16,11.35,5.06,1.4,74.34,White
5054,PI 533838,16,27,5,SufficientNitrogen,53.0,37.6,3.65,N,11.0,8.1,89.1,46.5,3.7,12.0,80.0,59.0,6.2,0.0,22.33,9.82,9.37,6.07,3.77,36.33,3.03,,,,,,Grey
